99	4851
0	1	19
0	2	16
0	3	18
0	4	18
0	5	17
0	6	16
0	7	16
0	8	17
0	9	17
0	10	17
0	11	15
0	12	17
0	13	17
0	14	17
0	15	17
0	16	16
0	17	17
0	18	16
0	19	17
0	20	17
0	21	17
0	22	18
0	23	17
0	24	17
0	25	17
0	26	17
0	27	14
0	28	17
0	29	17
0	30	18
0	31	17
0	32	17
0	33	17
0	34	17
0	35	18
0	36	17
0	37	17
0	38	17
0	39	16
0	40	18
0	41	16
0	42	14
0	43	16
0	44	10
0	45	10
0	46	9
0	47	10
0	48	8
0	49	8
0	50	9
0	51	10
0	52	9
0	53	9
0	54	10
0	55	10
0	56	10
0	57	11
0	58	10
0	59	10
0	60	9
0	61	9
0	62	9
0	63	13
0	64	14
0	65	12
0	66	10
0	67	11
0	68	10
0	69	9
0	70	10
0	71	9
0	72	10
0	73	10
0	74	9
0	75	8
0	76	10
0	77	8
0	78	12
0	79	11
0	80	8
0	81	9
0	82	11
0	83	9
0	84	12
0	85	14
0	86	8
0	87	9
0	88	10
0	89	10
0	90	10
0	91	9
0	92	10
0	93	10
0	94	10
0	95	10
0	96	11
0	97	8
0	98	9
1	2	16
1	3	17
1	4	18
1	5	16
1	6	16
1	7	15
1	8	17
1	9	17
1	10	17
1	11	15
1	12	17
1	13	17
1	14	17
1	15	16
1	16	17
1	17	16
1	18	16
1	19	17
1	20	17
1	21	17
1	22	17
1	23	16
1	24	17
1	25	17
1	26	17
1	27	15
1	28	17
1	29	17
1	30	18
1	31	17
1	32	17
1	33	16
1	34	17
1	35	17
1	36	17
1	37	17
1	38	17
1	39	15
1	40	17
1	41	16
1	42	14
1	43	16
1	44	11
1	45	11
1	46	9
1	47	11
1	48	9
1	49	9
1	50	9
1	51	10
1	52	10
1	53	10
1	54	10
1	55	10
1	56	10
1	57	11
1	58	10
1	59	11
1	60	9
1	61	10
1	62	9
1	63	13
1	64	13
1	65	12
1	66	10
1	67	12
1	68	10
1	69	10
1	70	10
1	71	9
1	72	10
1	73	10
1	74	9
1	75	9
1	76	11
1	77	9
1	78	13
1	79	11
1	80	8
1	81	9
1	82	12
1	83	10
1	84	13
1	85	14
1	86	9
1	87	10
1	88	10
1	89	10
1	90	10
1	91	10
1	92	11
1	93	11
1	94	10
1	95	10
1	96	11
1	97	9
1	98	9
2	3	18
2	4	17
2	5	18
2	6	16
2	7	16
2	8	16
2	9	16
2	10	17
2	11	15
2	12	18
2	13	18
2	14	18
2	15	17
2	16	15
2	17	18
2	18	18
2	19	18
2	20	18
2	21	18
2	22	18
2	23	17
2	24	15
2	25	15
2	26	16
2	27	12
2	28	18
2	29	17
2	30	17
2	31	18
2	32	18
2	33	18
2	34	18
2	35	16
2	36	18
2	37	18
2	38	18
2	39	17
2	40	17
2	41	16
2	42	13
2	43	16
2	44	7
2	45	7
2	46	6
2	47	7
2	48	6
2	49	7
2	50	6
2	51	7
2	52	7
2	53	7
2	54	7
2	55	7
2	56	7
2	57	8
2	58	7
2	59	7
2	60	6
2	61	6
2	62	6
2	63	11
2	64	11
2	65	9
2	66	7
2	67	8
2	68	7
2	69	6
2	70	7
2	71	6
2	72	7
2	73	7
2	74	6
2	75	7
2	76	7
2	77	6
2	78	10
2	79	8
2	80	6
2	81	6
2	82	8
2	83	7
2	84	10
2	85	12
2	86	6
2	87	7
2	88	7
2	89	7
2	90	7
2	91	7
2	92	7
2	93	7
2	94	7
2	95	7
2	96	8
2	97	6
2	98	6
3	4	17
3	5	17
3	6	16
3	7	16
3	8	17
3	9	17
3	10	18
3	11	16
3	12	17
3	13	18
3	14	18
3	15	17
3	16	16
3	17	18
3	18	17
3	19	18
3	20	18
3	21	18
3	22	18
3	23	17
3	24	16
3	25	16
3	26	17
3	27	13
3	28	18
3	29	17
3	30	18
3	31	18
3	32	18
3	33	18
3	34	18
3	35	17
3	36	18
3	37	18
3	38	18
3	39	16
3	40	18
3	41	16
3	42	14
3	43	17
3	44	9
3	45	9
3	46	7
3	47	8
3	48	8
3	49	8
3	50	8
3	51	9
3	52	8
3	53	8
3	54	8
3	55	8
3	56	8
3	57	10
3	58	8
3	59	9
3	60	7
3	61	8
3	62	8
3	63	12
3	64	13
3	65	10
3	66	8
3	67	10
3	68	8
3	69	8
3	70	8
3	71	7
3	72	8
3	73	8
3	74	8
3	75	8
3	76	9
3	77	8
3	78	11
3	79	10
3	80	7
3	81	7
3	82	10
3	83	8
3	84	12
3	85	13
3	86	7
3	87	8
3	88	8
3	89	9
3	90	8
3	91	8
3	92	9
3	93	9
3	94	8
3	95	8
3	96	10
3	97	7
3	98	7
4	5	16
4	6	17
4	7	16
4	8	17
4	9	17
4	10	17
4	11	16
4	12	17
4	13	17
4	14	17
4	15	17
4	16	17
4	17	17
4	18	17
4	19	17
4	20	17
4	21	18
4	22	18
4	23	17
4	24	16
4	25	16
4	26	17
4	27	14
4	28	17
4	29	17
4	30	18
4	31	18
4	32	17
4	33	17
4	34	17
4	35	18
4	36	17
4	37	18
4	38	17
4	39	16
4	40	18
4	41	16
4	42	14
4	43	16
4	44	10
4	45	10
4	46	8
4	47	9
4	48	8
4	49	8
4	50	8
4	51	9
4	52	9
4	53	9
4	54	9
4	55	9
4	56	9
4	57	10
4	58	9
4	59	9
4	60	8
4	61	9
4	62	8
4	63	13
4	64	13
4	65	11
4	66	9
4	67	10
4	68	9
4	69	8
4	70	9
4	71	8
4	72	9
4	73	9
4	74	8
4	75	8
4	76	10
4	77	8
4	78	12
4	79	10
4	80	8
4	81	8
4	82	11
4	83	9
4	84	12
4	85	13
4	86	8
4	87	9
4	88	10
4	89	9
4	90	9
4	91	8
4	92	10
4	93	10
4	94	9
4	95	9
4	96	10
4	97	8
4	98	9
5	6	16
5	7	16
5	8	16
5	9	16
5	10	17
5	11	15
5	12	18
5	13	18
5	14	18
5	15	17
5	16	15
5	17	17
5	18	17
5	19	17
5	20	18
5	21	18
5	22	17
5	23	17
5	24	15
5	25	15
5	26	16
5	27	12
5	28	17
5	29	17
5	30	17
5	31	17
5	32	18
5	33	17
5	34	18
5	35	16
5	36	18
5	37	18
5	38	18
5	39	17
5	40	17
5	41	15
5	42	13
5	43	17
5	44	8
5	45	8
5	46	6
5	47	7
5	48	6
5	49	7
5	50	6
5	51	7
5	52	7
5	53	7
5	54	7
5	55	7
5	56	7
5	57	8
5	58	7
5	59	7
5	60	6
5	61	7
5	62	7
5	63	11
